order_id,order_date,region,product_sku,quantity,unit_price,customer_id
1001,2025-01-03,Americas,MONA-001,2,32.99,C-001
1002,2025-01-03,Americas,OCTO-100,1,19.99,C-002
1003,2025-01-04,EMEA,OCTO-100,3,19.99,C-003
1004,2025-01-04,APAC,CAT-042,5,9.50,C-004
1005,2025-01-05,Americas,MONA-001,1,32.99,C-005
1006,2025-01-05,Americas,CAT-042,4,9.50,
1007,2025-01-06,EMEA,MONA-001,2,32.99,C-007
1008,2025-01-06,APAC,OCTO-100,-1,19.99,C-008
1009,2025-01-07,Americas,CAT-042,2,9.50,C-009
1010,2025-01-07,Americas,OCTO-100,3,19.99,C-010
1011,2025-01-08,EMEA,CAT-042,6,9.50,C-011
1012,2025-01-08,APAC,MONA-001,1,32.99,C-012
1013,2025-01-09,Americas,OCTO-100,2,19.99,C-013
1014,2025-01-09,Americas,MONA-001,4,32.99,C-014
1015,2025-01-10,EMEA,OCTO-100,1,,C-015
1016,2025-01-10,APAC,CAT-042,3,9.50,C-016
1017,2025-01-11,Americas,MONA-001,2,32.99,C-017
1018,2025-01-11,EMEA,CAT-042,5,9.50,C-018
1019,2025-01-12,APAC,OCTO-100,1,19.99,C-019
1020,2025-01-12,Americas,MONA-001,3,32.99,C-020
